step,vortices_pos,vortices_neg,net_local_charge
1,18,17,1
2,16,17,-1
3,16,16,0
4,15,15,0
5,15,15,0
6,15,15,0
7,14,14,0
8,15,15,0
9,15,15,0
10,14,14,0
11,14,14,0
12,14,13,1
13,14,13,1
14,14,13,1
15,15,14,1
16,14,14,0
17,14,14,0
18,15,14,1
19,14,14,0
20,14,14,0
21,14,14,0
22,13,13,0
23,13,13,0
24,12,12,0
25,12,12,0
26,12,11,1
27,11,10,1
28,11,10,1
29,11,10,1
30,11,10,1
31,11,10,1
32,11,10,1
33,11,10,1
34,11,9,2
35,11,10,1
36,11,9,2
37,10,8,2
38,10,8,2
39,10,9,1
40,10,9,1
41,9,8,1
42,9,8,1
43,9,8,1
44,9,8,1
45,9,8,1
46,9,8,1
47,9,7,2
48,9,8,1
49,9,8,1
50,9,8,1
51,9,8,1
52,11,9,2
53,7,8,-1
54,9,9,0
55,6,7,-1
56,7,6,1
57,7,5,2
58,7,5,2
59,7,5,2
60,7,5,2
61,7,5,2
62,7,5,2
63,7,5,2
64,7,5,2
65,7,5,2
66,7,5,2
67,7,5,2
68,7,5,2
69,7,5,2
70,7,5,2
71,7,5,2
72,6,5,1
73,6,5,1
74,6,5,1
75,6,5,1
76,6,5,1
77,6,5,1
78,6,5,1
79,6,5,1
80,6,5,1
81,6,5,1
82,6,5,1
83,6,4,2
84,6,4,2
85,6,5,1
86,6,4,2
87,6,5,1
88,6,4,2
89,6,4,2
90,6,4,2
91,6,4,2
92,6,4,2
93,6,4,2
94,6,4,2
95,6,5,1
96,6,4,2
97,6,4,2
98,6,5,1
99,6,4,2
100,6,4,2
101,6,4,2
102,6,4,2
103,6,4,2
104,6,4,2
105,6,4,2
106,6,4,2
107,6,3,3
108,6,3,3
109,6,4,2
110,5,3,2
111,5,2,3
112,5,2,3
113,5,3,2
114,5,3,2
115,4,2,2
116,4,2,2
117,4,1,3
118,4,3,1
119,4,3,1
120,4,3,1
121,4,3,1
122,4,2,2
123,4,3,1
124,4,3,1
125,4,2,2
126,4,3,1
127,4,2,2
128,4,2,2
129,4,2,2
130,4,2,2
131,4,2,2
132,4,3,1
133,4,2,2
134,4,3,1
135,4,3,1
136,4,3,1
137,4,3,1
138,3,2,1
139,4,2,2
140,4,2,2
141,4,2,2
142,4,3,1
143,4,3,1
144,4,3,1
145,4,3,1
146,4,3,1
147,4,3,1
148,4,2,2
149,4,2,2
150,4,3,1
151,4,3,1
152,4,3,1
153,4,3,1
154,4,3,1
155,4,2,2
156,4,2,2
157,3,2,1
158,4,2,2
159,4,2,2
160,4,2,2
161,4,2,2
162,4,2,2
163,4,2,2
164,3,2,1
165,4,2,2
166,4,2,2
167,3,2,1
168,4,2,2
169,3,2,1
170,3,2,1
171,3,2,1
172,3,2,1
173,4,2,2
174,3,2,1
175,3,2,1
176,4,2,2
177,4,2,2
178,4,2,2
179,3,2,1
180,3,2,1
181,3,2,1
182,2,2,0
183,3,2,1
184,2,2,0
185,4,2,2
186,4,2,2
187,3,2,1
188,3,2,1
189,2,2,0
190,2,2,0
191,3,2,1
192,3,2,1
193,3,2,1
194,2,2,0
195,2,2,0
196,2,2,0
197,3,2,1
198,2,2,0
199,3,2,1
200,3,2,1
201,2,2,0
202,2,2,0
203,2,2,0
204,2,2,0
205,3,2,1
206,2,2,0
207,2,2,0
208,2,2,0
209,3,2,1
210,2,2,0
211,3,2,1
212,3,2,1
213,2,2,0
214,1,1,0
215,1,1,0
216,1,1,0
217,1,1,0
218,1,1,0
219,1,1,0
220,1,1,0
221,1,1,0
222,1,1,0
223,1,1,0
224,1,1,0
225,1,1,0
226,1,1,0
227,1,1,0
228,1,1,0
229,1,1,0
230,1,1,0
231,1,1,0
232,2,1,1
233,1,1,0
234,1,1,0
235,1,1,0
236,1,1,0
237,1,1,0
238,2,1,1
239,1,1,0
240,1,1,0
241,1,1,0
242,1,1,0
243,1,1,0
244,1,1,0
245,1,1,0
246,1,1,0
247,1,1,0
248,1,1,0
249,1,1,0
250,1,1,0
251,1,1,0
252,1,1,0
253,1,1,0
254,2,1,1
255,2,1,1
256,1,1,0
257,1,1,0
258,1,1,0
259,1,1,0
260,1,1,0
261,1,1,0
262,1,1,0
263,2,1,1
264,1,1,0
265,1,1,0
266,2,1,1
267,1,1,0
268,1,1,0
269,1,1,0
270,1,1,0
271,1,1,0
272,1,1,0
273,1,1,0
274,1,1,0
275,1,1,0
276,1,1,0
277,1,1,0
278,1,1,0
279,1,1,0
280,1,1,0
281,1,1,0
282,1,1,0
283,1,1,0
284,1,1,0
285,1,1,0
286,1,1,0
287,2,1,1
288,1,1,0
289,1,1,0
290,1,1,0
291,2,1,1
292,2,1,1
293,2,1,1
294,2,1,1
295,2,1,1
296,2,1,1
297,2,1,1
298,2,1,1
299,1,1,0
300,1,1,0
301,2,1,1
302,2,1,1
303,1,1,0
304,1,1,0
305,1,1,0
306,1,1,0
307,1,1,0
308,1,1,0
309,1,1,0
310,1,1,0
311,2,1,1
312,2,1,1
313,2,1,1
314,1,1,0
315,1,1,0
316,1,1,0
317,2,1,1
318,1,1,0
319,1,1,0
320,2,1,1
321,2,1,1
322,2,1,1
323,2,1,1
324,2,1,1
325,2,1,1
326,2,1,1
327,2,1,1
328,2,1,1
329,2,1,1
330,2,1,1
331,2,1,1
332,2,1,1
333,2,1,1
334,2,1,1
335,2,1,1
336,2,1,1
337,2,1,1
338,2,1,1
339,2,1,1
340,2,1,1
341,2,1,1
342,1,1,0
343,2,1,1
344,2,1,1
345,2,1,1
346,2,1,1
347,2,1,1
348,2,1,1
349,2,1,1
350,2,1,1
351,2,1,1
352,2,1,1
353,1,1,0
354,2,1,1
355,2,1,1
356,2,1,1
357,2,1,1
358,1,1,0
359,1,1,0
360,2,1,1
361,2,1,1
362,2,1,1
363,2,1,1
364,2,1,1
365,2,1,1
366,1,1,0
367,2,1,1
368,1,1,0
369,1,1,0
370,1,1,0
371,2,1,1
372,1,1,0
373,1,1,0
374,1,1,0
375,2,1,1
376,2,1,1
